,ID,Name,Type
42,1785,The Clergyman Put to Flight During his Sermon,"Miscellaneous Type. For one reason or another, a clergyman runs away in the middle of the service. For example, he sees a dog eating his dinner or a man stealing his hat; or, a man hiding behind a saints image curses him, etc. [X411]."
43,1785A,The Sausage in the Pocket (previously The Sextons Dog Steals the Sausage from the Parsons Pocket),"A preacher is given a sausage by one of his parishioners and goes directly to the church with it in the rear pocket of his coat. A dog smells the sausage and follows him. When the preacher is in the pulpit, the sexton brings him a book which he had forgotten. So as not to be observed, the sexton bends over and crawls up the steps to the pulpit and pulls on the preachers coat. The preacher thinks it is the dog and kicks him."
44,1785B,The Needle in the Pulpit (previously The Sexton Puts a Needle in the Sacramental Bread),"(Including the previous Type 1836*.) A preacher has a habit of striking his hands on the pulpit (Bible, communion bread). Some boys (confirmation students, altar boys, students) want to play a trick on him. They stick needles into the edge of the pulpit (smear it with manure or butter). The preacher poses a rhetorical question, Who created the world (What is our earthly life), strikes the pulpit, and hits a nail (the manure). He answers his question, Those damn boys! (Shit!) [X411.2]."
45,1785C,The Sextons Wasp nest,"Boys (sexton) hide a wasp nest in the pulpit. During the sermon, the wasps sting the preacher. Finally he cannot stand it any more and leaves, saying, I have the word of God in my mouth, but the devil is in my pants. [X411.3]. Cf. Type 49."
46,1786,The Clergyman Rides an Ox in the Church (previously The Parson in the Church on the Ox),"On Palm Sunday, a preacher wants to show his congregation exactly how Jesus came to Jerusalem, and rides into the church on an ox (horse). The sexton sticks the ox with a needle, and it runs wild [X414]."
47,1790,The Clergyman and the Sexton Steal a Cow,"A clergyman and a sexton steal a cow (other animal), and are suspected of the theft. The sexton is ready to find a solution (says his conscience troubles him; he wants to admit publicly to the theft; makes the clergyman give him money not to tell anyone). In court (before an assembly), the sexton, to the clergymans horror, describes their theft and its aftermath in detail. At the end, he says, Then I woke up (fell out of bed from fright) [J1155]. The judge (audience) takes the story for a dream, and lets the thieves suspects go free. Cf. Type 1364."
48,1791,The Sexton Carries the Clergyman,"(Including the previous Type 1525F.) Two thieves (farmhands, apprentices) decide that one of them will steal cabbage (nuts) while the other steals a sheep (pig, horses). They plan to meet in the graveyard (tomb) at night to divide their booty. The man who took the cabbage arrives first and begins to divide: One for me, one for you. The sexton hears this and thinks it is a ghost (the devil, the Last Judgment). He brings the clergyman to come and hear this for himself. The clergyman is lame (suffers from rheumatism), so the sexton has to carry him on his back. The cabbage-thief thinks this must be his confederate with the sheep, and calls out, Throw it here so we can slaughter it. The sexton, terrified, drops his burden and runs away, but is overtaken by the clergyman who is so frightened that he forgot about his injury [X424]."
49,1791*,The Murderers House,"Two young men lose their way on an autumn evening and stay overnight in a secluded house. One of them hears the owner (sees him take a knife and) say, No matter how young they are, they have to die. (Its lucky that he is so fat.) The young man thinks he and his friend are about to be murdered. It turns out that the owner was planning to kill two sheep (a rooster)."
50,1792,The Stingy Clergyman and the Slaughtered Pig,"A clergyman (citizen, farmer), who has benefited from others communal slaughtering parties, does not want to give away any of his own pig. His sexton (neighbor) advises him to hang the animals carcass outdoors over night and to take it inside secretly early in the morning. He can tell the neighbors that it was stolen. The clergyman follows this advice, but, in the night, the sexton comes and steals the pig. In the morning, the clergyman comes and complains that his pig really was stolen. The sexton pretends not to believe this, and tells the clergyman that his act is so convincing, no one will mind his not sharing the meat [K343.2.1]. Cf. Type 1831."
51,1792B,The Clergyman and the Sexton Steal a Hog,"A clergyman steals a hog, kills it, hides it in his boat, and rows away. When his followers ask him if he has seen a hog thief, he denies it. He takes the hog home where he shows it to the sexton, who thereupon wants to steal a hog as well. In the night, they plan to light the hogs head with tinder, in order to kill the animal. But when in the darkness the clergyman puts the burning tinder for a moment on his own knee, the sexton thinks it is the hogs head, and he cuts his companions knee with his axe. The cries of pain awaken the inhabitants of the house, and the two thieves are caught."
52,1800,Stealing Something Small (previously Stealing Only a Small Amount),"In confession, a man admits he has stolen something small a rope. However, at the end of the rope there was a cow (sheep, ox, donkey) [K188]. Cf. Type 1630A*."
53,1804,Imagined Penance for Imagined Sin,"This tale exists chiefly in two different forms: (1) A penitent (young woman) comes to confession and says that he has planned to do something sinful. The clergyman answers that the thought is as good as the deed, and orders the penitent to pay a certain amount of money for his absolution. The penitent says that the sin was only imaginary, so the clergyman must accept an imaginary payment [J1551.2]. (2) After the confession of an imagined sin, a penitent is supposed to work for the clergyman, but instead he lies under a tree. The clergyman asks him why he is not doing anything, and he answers that his intention to work is as good as the deed."
54,1804*,The Eel Filled with Sand,A clergyman promises absolution to a penitent in return for a large eel. The penitent sends him an eelskin (skins from many eels) filled with sand. The clergyman says that the mans sins will not be absolved.
55,1804**,Tales about Payment for Absolution,This miscellaneous type consists of various anecdotes in which a penitent cheats a clergyman out of payment that he has demanded in return for granting absolution. Cf. Type 1806*.
56,1804B,Payment with the Clink of Money,"(Including the previous Type 1804A.) A man demands payment from other persons because they smelled the first mans dinner (softened their bread in its steam) while it was being cooked. A judge decrees that the other persons should pay with the clink of coins [J1172.2]. In Lithuanian variants, a clergyman shows a communion wafer to a sick man through a window and tells him to imagine that he has received it. The sick man shows the clergyman some money through the window and repeats the same instructions [J1551.10]. (Previously Type 1804A.)"
57,1804C,Poem for Poem,"A poet sends a flattering poem to his ruler and hopes for a generous reward. Instead, the ruler sends a poem to the poet. The poet sends his ruler a little money, saying that it is all that he has. The ruler recognizes this trick and makes friends with the poet [J1551.3, J1581.1, cf. K231.7]."
58,1804D,The Shadow of the Donkey,"A donkey driver lets a farmer rent his donkey. It is a hot day, so the farmer stands (sits) in the donkeys shadow. The driver protests that the farmer rented only the donkey, not its shadow [J1169.7]."
59,1804E,Confession in Advance,"A penitent has committed a small sin, for which he is assessed a small amount of money. He pays double so that he can commit another sin for free (can do the same thing again, steal a horse that belongs to the confessor [J1635]). Cf. Type 1586B."
60,1805,Confessions of a Pious Woman,"An old woman confesses her carnal sins to a clergyman, who replies that they must have taken place many years before. The woman agrees, and adds that she still enjoys remembering them."
61,1805*,The Clergymans Children,A red-headed clergyman demands that a (cattle) thief confess his sins publicly from the pulpit. The clergyman tells the congregation that everything the man says there is true. The thief announces that the clergyman is the father of all the red-haired children in the village. Cf. Type 1735A.
62,1806,Dinner in Heaven (previously Will Lunch with Christ),"A clergyman visits a condemned criminal to offer him consolation, and tells him that tonight he will be having dinner with God. The criminal invites the clergyman to take his place, but the clergyman declines the invitation (says he is fasting) [J1261.3]. In some variants, a high-ranking clergyman speaks to soldiers before a battle, encouraging them to fight bravely and saying that those who die will dine with God that very day. The soldiers ask why the clergyman does not join them. He replies that he is not hungry."
63,1806*,Tales of Confessions,(Including the previous Type 1806B*.) This miscellaneous type consists of various anecedotes about confessions. E.g. the penitent offers to trade his fate (future) with the clergymans or gives some other quick-witted answer. Cf. Type 1804**.
64,1806A*,The Clergyman as Prosecutor,"Two farmers (grandfather and grandson) go to confession. The clergyman asks the first (the grandson) where God is, but the man cannot answer. The clergyman asks the other one the same thing, but he also cannot answer. The two men think that the clergyman is blaming them for Gods disappearance and hurry away."
65,1807,The Equivocal Confession,"A thief (Gypsy) who has stolen a piece of bacon from the clergymans soup (the clergymans fur coat or hat) tells the clergyman in confession that he drove a hog out of the vegetables (rescued someone from a bear, or tipped his hat). The clergyman praises him for his good deed (manners) and only afterwards discovers what really happened."
66,1807A,The Owner Has Refused to Accept It,"A thief (Gypsy) steals the clergymans gold watch (snuffbox). The thief confesses that he stole a watch and offers to give it to the clergyman, who refuses it saying that the thief should return it to its owner. The thief says honestly that the owner has refused to accept it. The clergyman tells the thief that he may then keep the watch, and gives him absolution. Later, when the clergyman discovers his mistake, it is too late to get his watch back [K373]. In some variants, the clergyman wants the thief to announce his finding in public, but the thief reminds him that what is said in confession is secret."
67,1807A*,Who Has Lost This A man comes to confession with a purse of money which he has found (a clergyman finds such a purse),"In order to return it to its owner, the man is supposed to announce his finding in the city, but he speaks so softly (has hidden the purse so) that no one understands. Since no one claims the purse, the man is permitted to keep it."
68,1807B,Sleeping with Gods Daughters,"For his penance, a man is required to abstain for four weeks from eating flesh and drinking liquor, not to sleep in a feather bed, and to abstain from sexual relations with women. He goes to a convent where he is provided with meat and wine, and where he sleeps on a bed of down with the nuns. When he tells his confessor about this, the clergyman is angry at the man for sleeeping with the daughters of God. The penitent replies that now that he is the brother-in-law of Jesus, he does not need a confessor any more [J1161.5]."
69,1810,Anecdotes about Catechism,"This miscellaneous type consists of various anecdotes that are structured as a series of questions and answers about religious subjects. The clergyman tests the knowledge of one or more of his parishioners. The humor comes from the ignorance of the person questioned, from wrong answers, or from misunderstandings evidenced in the answers. The questioner (clergyman) is often thought to be a fool by the person whom he interrogates. Cf. Type 1832*."
70,1811,Jokes about Religious Vows,"This miscellaneous type consists of various anecdotes with ambiguous interpretations of religious vows, in which someone who has taken a vow profits from a misunderstanding."
71,1811A,Vow Not to Drink from St,"George (April 23) to St. Demetrius (October 26). A man has vowed not to drink from St. George to St. Demetrius. Instead of the period between the two saints days, he interprets this to mean he cannot drink between two churches that bear these names."
72,1811B,The Patience of Job,A clergyman preaches about the exemplary patience of Job. His wife tests him by saying that the kitchen maid has wasted the wine supply (he discovers that she spoiled a cheese or let the beer run out). The clergyman becomes angry and refuses to follow Jobs example. Cf. Type 1847*.
73,1820,Bride and Groom at Wedding Ceremony,"(Including the previous Type 1684B*.) This miscellaneous type consists of various anecdotes about weddings in which the couple to be married give absurd answers to the clergymans questions or otherwise behave comically. In some variants, a fool hits a man on the head because he sings too loudly. (Previously Type 1684B*.)"
74,1821,Naming the Child (Baptism),"(Including the previous Type 1821A.) This miscellaneous type consists of various anecdotes in which the godparent who is to give the child its name does not know what to say. Cf. Type 1823. (1) The godparent says, Name him something. (Previously Type 1821A.) (2) The clergyman suggests to name the child after his father (godfather). The father is afraid that he must then go without a name himself for the rest of his life (he is not sure whether he can live without a name). (3) The godparents are told to repeat what the clergyman says. He says something that is not part of the ceremony and they repeat it [J2498.2]. Cf. Types 1694A, 1832M*."
75,1822,Equivocal Blessings,"(Including the previous Type 1822A.) This miscellaneous type consists of various anecdotes that include ambiguous blessings. In some variants, the clergyman blesses the spring fields, saying they should be as fruitful as a nut that he is holding in his hand. When the nut is opened, it is hollow, so the clergyman has to alter his blessing quickly. (Previously Type 1822A.)"
76,1823,Jokes about Baptism,"This miscellaneous type consists of various anecdotes about comical events at a childs (seldom adults) baptism. For example, the clergyman misunderstands the Latin instructions and hops around. Or, he mistakes the midwifes (mothers) fart for a sign that the devil has been driven out. But when they tell him it was the child who farted, he curses it for its bad habits. Cf. Type 1821."
77,1824,Parody Sermon,This miscellaneous type consists of various parodies of sermons. They range from rhymes with absurd contents to improvised sermons (delivered by the clergyman or by someone disguised as a clergyman). Some of them are critical of the authorities or of the audience.
78,1825,The Farmer as Clergyman,"This type consists of three introductory episodes in which an unqualified person takes over the office of the clergyman but cannot fulfill his duties [K1961.1]. (1) A congregation is no longer able to pay the clergyman and chooses one of themselves (a stranger, someone who can read) to take his place. A wife induces her husband to volunteer to be the clergyman, or a farmer in debt goes to the clergyman for instruction. (2) The clothes of a farmer who is drunk (asleep) are exchanged by his wife (a passer-by) with the clergymans. The farmer attempts to carry out the clergymans duties. (3) A farmer wants to exchange roles with a clergyman because he believes the clergyman has an easy life and only works on Sundays."
79,1825A,Preaching the Truth (previously The Parson Drunk),"A congregation complains about their clergyman to the bishop. The bishop comes for a surprise visit. Before the service begins, the clergyman, who pretends to be asleep, witnesses the bishop propositioning his wife. The clergyman preaches about this in his sermon, and the bishop decides to drop the matter of the complaint [cf. J1211.1, K1961.1.1]. In some variants, the bishop instructs all the clergymen always to speak the truth in their sermons. When the bishop comes and hears a clergyman preaching about the bishops own misconduct, he removes the clergyman from his position."
80,1825B,Preaching as the Congregation Wishes (previously I Preach Gods Word,"). This tale exists chiefly in three different forms: (1) A congregation (master) requires that the clergyman preach an impromptu sermon on a text that has been placed in the pulpit. The page there is blank. The clergyman begins his sermon with the words, From nothing, God created the heavens and the earth. Sometimes he ends there. More often, the sermon that follows is considered a particularly good one. (2) A congregation complains that their clergyman, often a layman, knows no Latin. He goes to the sexton for advice. As they walk around, the sexton tells him some mock-Latin words which he makes by adding endings onto familiar words. The clergyman copies this formula in his next sermon, and the congregation is appeased [K1961.1.2]. Cf. Type 1628*. (3) An ignorant clergyman repeats the same words over and over, e.g. I preach the word of God; I am a good shepherd; or, Service and sermon. [K1961.1.2]."
81,1825C,The Sawed Pulpit,"This tale exists chiefly in three different forms: (1) A clergyman, often a layman, promises his congregation that they will witness a miracle. Secretly, he saws the pulpit almost through. When in his next sermon he refers to the miracle, the pulpit falls down [K1961.1.3]. (2) A clergyman (monk) gesticulates wildly during his sermons. One of the parishioners saws the pulpit almost through. It falls down during the next sermon, while the clergyman cites John XVI,16, A little while, and ye shall not see me. Cf. Type 1827. (3) A clergyman preaches standing on a barrel that caves in during the sermon."
82,1825D*,Fire in the Boots,"A clergyman, often a layman, serving mass tells his congregation to do as he does. By accident, coals fall out of the censer into his boots. He stamps his feet and then lies down on the floor and kicks. The parishioners imitate him. Cf. Type 1694."
83,1826,The Clergyman Has no Need to Preach,"A clergyman (often a layman, Nasreddin Hodja) asks his congregation whether they know what his sermon will be about. They do not know, so he berates them for their stupidity. He repeats his question the following week. This time they say they know, so he thinks he need not preach any more. The third week, the congregation is divided in their answer to the question: half say no and half say yes. The clergyman tells those who understand to teach the others [X452]. In some variants, a clergyman has to preach a sermon about a certain saint on the appropriate saints day. In order to avoid preaching this sermon, he announces that, since the saint performed no miracles that year, he need not give a sermon about him."
84,1826A*,The Saint who Ran Away (previously The Escaped Saint,") A saints picture is stolen from a church. The clergyman thinks that the saint ran away because he was a bad clergyman. Cf. Type 1572A*. In some variants, a clergyman and a sexton remove a saints statue. It is found in a bean field. The clergyman tells the congregation that it had gone to look for some food because they gave so little money for it."
85,1827,You Shall See me a Little While Longer,"A clergyman makes a bet with one member of his congregation that he will be able to empty a jug of wine during his sermon without being observed by the congregation (an alcoholic clergyman depends on his liquor to preach his sermon). In order to be able to drink behind the pulpit, he preaches on John 16.16, A little while, and ye shall not see me, and again a little while, and ye shall see me. After the sermon the clergyman shows the empty jug and asks if someone had lost it. Cf. Type 1825C. In some variants the clergyman goes behind the pulpit to drink during the prayers [X445.1]. Cf. Types 1533A, 1839B."
86,1827A,Cards (Liquor Bottle) Fall from the Sleeve of the Clergyman,"During his sermon, a clergyman drops playing cards (liquor flask) out of his sleeve (pocket). He asks the congregation (children) if they know what the cards are for. They show that they are well acquainted with cards. He replies that they know more about cards than they do about God (that on Judgment Day they will fall down just as the cards did). Cf. Types 1613, 1839B."
87,1827B,Billy goats instead of Sheep,"A clergyman preaches a sermon to his congregation, telling them that on Judgment Day when he stands before God (St. Peter at the gate of heaven), he will have to tell Him that, instead of faithful sheep, there were only billy goats (pigs, cattle) under his care (that none of them belong in heaven)."
88,1828,The Rooster at Church Crows,"During the service, a rooster flies into a church through an open window. He crows and wakes the sexton, who thinks it is his cue to answer part of the liturgy (sing a certain song) [X451]."
89,1828*,Weeping and Laughing,"A clergyman makes a bet that he can give a sermon that will cause half the congregation to laugh and half to weep. Or, a clergyman wants to show his bishop (the lord of the area) how badly his congregation behaves. He preaches a moving sermon that causes half his audience to weep. But he wears no trousers under his gown (he has fastened an animals tail to the seat of his trousers), so that the part of the audience that is behind him breaks out in laughter (the bishop is seated where he cannot see why the people are laughing) [X416]."
90,1829,Living Person Acts as Image of Saint [K1842],"This tale exists chiefly in two different forms: (1) On a certain saints day, the saints statue is missing (it was broken during cleaning, sold, stolen). The sexton suggests to the clergyman that a shoemaker (tailor, beggar) who happens to look like the statue should stand in its place. The shoemaker agrees. Before the end of the service, however, he has to move (he sneezes or has to urinate, is bothered by insects, burns his foot on a candle). Often he curses. The statues coming to life is said to be a miracle. (2) A woodcarver who is supposed to carve a saints statue does not finish it on time. He finds someone who looks like the statue to take its place. A representative from the church comes and asks the woodcarver to alter the statue with a knife. The person taking its place becomes frightened and runs away. Cf. Types 1347, 1359C, 1572A*, and 1730."
91,1830,Producing the Weather (previously In Trial Sermon the Parson Promises the Laymen the Kind of Weather they Want),"A congregation needs to appoint a new clergyman (sexton). They choose one who says he can produce whatever weather that they want. However, they cannot agree what the weather should be: one group wants rain, and another, sunshine. The new clergyman suggests that they let God decide what the weather should be (that it should be the same with the weather as it was before) [J1041.1]. Cf. Type 752B."
92,1831,The Clergyman and Sexton at Mass,"A clergyman tells his sexton (deacon) that he should steal a sheep (hog) during the service. When the sexton returns, the service is still going on. The clergyman asks him, as if it were part of the liturgy, whether his theft was successful. The sexton replies, also as if it were part of the service, that he got the sheep (that his theft was discovered), but that he lost the clergymans horse. Or, other dialogs on other subjects are incorporated into the liturgy, e.g. between the clergyman and his cook or between the sexton and the clergyman [X441]."
93,1831A*,Inappropriate Actions in Church,"(Including the previous Type 1831A.) This miscellaneous type consists of various anecdotes in which people in church act in inappropriate ways because of ignorance. Or, the clergyman (clergyman and sexton) acts in unsuitable ways, e.g. fighting, ordering alcohol (for cooking), misunderstanding Latin phrases. Cf. Type 1678**."
94,1831B,The Clergymans Share and the Sextons,"During the sermon, the clergyman asks the sexton if anyone is coming. The sexton answers that a man carrying a wheel (cudgel) on his shoulder is coming. The clergyman says that the sexton may have the wheel. The sexton then sees a man coming carrying half a hog (an old woman with a tub of butter). The clergyman says he will keep that for himself [J1269.1]."
