,ID,Name,Type
2094,304,The Dangerous Night-Watch (previously The Hunter),"Together with his brothers (companions), a youth (youngest of three brothers, hunter, prince, soldier, etc.)has various hunting adventures, or he defeats dragons (wild animals, monsters) during one (three) night-watch(es) in the forest (at his fathers grave). While the youth fights, his fire (light) goes out (the youth loses his way, is tempted away by a bird). He (stops time and) meets giants (robbers, supernatural beings) whom he impresses by shooting tricks [F666.1] or by his extraordinary physical strength. The giants go to plunder a castle (town) or to carry off a princess, and take the youth with them. The youth shoots a watchdog (rooster), enters the castle first, calls the giants and, as they enter, he cuts off their heads one at a time [K912]. Often he cuts off their tongues (heads, other parts of the body) which he takes away as trophies [H83]. Cf. Type 300. In the castle, the youth comes to a room where a princess lies sleeping [N711.2]. He looks at her (falls in love, kisses her, rapes her) and, before leaving, takes a souvenir (jewelry, handkerchief, shoes, etc.)which later becomes a token [H81.1, H81.1.1, T475.2]; cf. Types 301, 301D*. Then he returns with a burning log (lets time resume) and kindles the fire again. An impostor pretends that he had killed the giants and claims the (pregnant) princess for his wife. The princess refuses to marry him. She sets up (is made to live in) an inn [Q481] where guests need not pay anything if they tell a tale (life-history, news). (Accompanied by his brothers and mother,) the youth stops at this inn, proves his identity by means of his tale and the tokens, and marries the princess [H11.1.1, H81, L161]. The impostor is punished."
2095,305,The Dragons Heart-blood as Remedy [D1500,"1.7.3.3]. This tale exists chiefly in four different forms (cf. Types 314, 551, 673): (1) A king falls ill and learns that he can only be cured by the milk and blood of a dragons heart. He promises his oldest daughter to whoever is able to get the remedy, and his youngest daughter to whoever assists. A nobleman and a farmer boy set out and, with the help of an old woman, arrive at the dragons forest. The farmer boy kills the dragon, squeezes milk and blood out of its heart, and hides them. Threatening to kill him, the nobleman takes the dragons heart, presents it to the king and wins the eldest daughter and the kingdom [K1935]. The farmer boy and the youngest daughter are sent to live in the goose house. Because there were neither milk nor blood in the dragons heart, the nobleman, the farmer boy, and the old woman are questioned. Truth comes to light, and the kingdom goes to the farmer boy. (2) During his travels, a workman learns that the sick king can only be cured by a dragons liver. He sees the dragons vulnerable spot in a dream. He kills the dragon and boasts of his victory in an inn. The host steals the mans knapsack which, however, contains only a stone. The workman arrives at the kings court prior to the host, cures the king, and wins the princess as his wife. The thievish host is hanged. (3) A father orders his son to bring him the devils tongue to cure his illness, but the son cannot find the devil. An old man advises him to knock with a stick on a certain trunk. A horse appears and carries him to the devil. The horse gives the son a piece of his hoof which he can use to call it whenever he is in danger. The son challenges the devil, but, during the fight, the devil thrusts him into the earth up to his waist. With the help of the horse, the son defeats the devil, brings the devils tongue to his father, and thus cures him. (4) While hunting, a prince is bewitched and loses his voice. A young woman appears in his dream and tells him about a remedy: a medicine consisting of dragons eyes, a dragons heart and other ingredients, which must be prepared in a certain manner. In return the young woman demands that the prince marry her. After the prince agrees, a youth appears and produces the medicine in the prescribed way. The cure is successful, and the prince marries the young woman."
2096,306,The Danced-out Shoes,"(Including the previous Type 306A.) Every day, a princess(es) wears out a pair of shoes. Her father wants to know why and offers the princess (one of the princesses) to whoever discovers the secret [H508.2]. Anyone who fails will lose his head. A youth (soldier, Gypsy, tailor, shepherd, farmer, etc.)acquires a magic object (e.g. shoes, cap, overcoat, stick) which makes him invisible [D1980]. He refuses a narcotic drink and does not fall asleep [K625.1]. After making himself invisible, the youth accompanies the princess on a magical underground journey [D2131]. In the underworld he watches the princess wear out her shoes by dancing with the devil (dragon, other supernatural beings) [F1015.1.1]. The next morning the youth tells the king what happened and corroborates his tale by tokens (e.g. twigs, apples, ring, piece of the princesss garment) from the underworld [H80]. He marries the princess [L161] and becomes king. Cf. Type 507A. Mainly in Indian variants, a prince accompanies his wife to the otherworld where she has to dance each night before a divinity. He frees her [F87]. (Previously Type 306A.)"
2097,307,The Princess in the Coffin (previously The Princess in the Shroud),"(Including the previous Types 307B* and 307C*.) After a hasty wish (curse), a diabolic (black, mute) daughter is born to a childless couple (king and queen) [C758.1, S223]. The daughter demands that when she dies, there should be a night-watch at her coffin in the church (graveyard) (someone should watch over her for three nights in order to save her). The dead girl rises every night from the coffin and swallows the man on guard [E251]. A soldier (boy) learns from an old man what he must do to free the girl from the witchcraft [N825.2]. During the first two nights, he hides from the dead girl. During the third night, when the girl leaves the coffin, the soldier lies down in it, refuses to let her in, and forces her (by means of a rusty sword) to say a paternoster (sing a hymn at the altar). As she says the prayer, the rooster crows and the girl is disenchanted [D791.1.7]. The guards are revived and the girl marries her rescuer [L162]. (The soldier tears his bride into two parts and shakes out the bad spirit in the form of reptiles.) Various other magic or religious means can be used to save the princess."
2098,310,The Maiden in the Tower,"(Petrosinella, Rapunzel.) A (pregnant) woman steals herbs (fruits) from the garden of a witch (sorceress) [G279.2] and is forced to promise her unborn child to the witch [S222.1]. The woman bears a girl, and after a certain time the witch comes for the daughter (often called Petrosinella, Rapunzel, etc. according to the name of the stolen plant) [G204]. The witch locks her up in a tower [R41.2]. Whenever the witch wants to visit her, she enters by climbing on the girls long (golden) hair as on a ladder [F848.1]. A prince discovers the girl in the tower because of her hair shining in the sun [F555] and falls in love with her. The girl gives the witch a sleeping-draught. The prince climbs up on the girls hair and they have a love affair. The witch finds out about the nocturnal visits of the prince. She wants to prevent further visits, but accidentally discloses that the lovers could flee by transforming themselves with the help of three oak galls. The girl overhears the conversation [N455] and explains the magic oak galls to the prince. They flee together and are pursued by the witch. They escape [D642.7] and the witch is killed. The prince marries the girl [L162]."
2099,311,Rescue by the Sister,"Two sisters, one after the other, fall into power of a demonic suitor (cannibal, dragon, magician, devil) and are taken into his (subterranean) castle [R11.1, T721.5]. There the sisters open a forbidden room full of dead bodies, in the course of which the key (a magic egg, apple) becomes bloody, or they refuse to eat human flesh [C611, C227, C913]. The demon kills them for their disobedience [C920]. Using a trick, the third (youngest) sister escapes from the same fate. She finds her sisters and resuscitates them by putting their bones together [R157.1]. She hides them beneath some gold in baskets (bags) and persuades the demon to carry the baskets home without looking into them [G561]. Cf. Type 1132. The youngest sister pretends to marry the demon and leaves a skull (straw dummy) dressed as a bride to deceive him. Unwittingly the demon carries this sister home in the third basket. Or she smears herself with honey and feathers and escapes as a strange bird [K525, K521.1]. Cf. Types 1383, 1681. The demon is burned in his own house or is killed in another way [Q211]. Cf. Type 312."
2100,311B*,The Singing Bag,"A Gypsy (old man) puts the niece of an old washerwoman (only daughter of an old couple) into a bag and carries her off. The Gypsy goes begging from door to door and exhibits his singing bag: He gives the bag a pinch, threatens to beat it with his stick, and orders it to sing. Thereupon the girl in the bag starts singing her tale: I left my rosary on a stone by the river when I was washing. When I wanted to get it, a Gypsy put me in his bag and carried me off. (I am the only daughter of an old couple. An old man carried me off when I was gathering berries in the forest.) One day the Gypsy arrives at the old washerwomans house. The woman recognizes her niece, invites the Gypsy into his house, and entertains him until he gets drunk. When he is sleeping, she rescues the girl from the bag and, in her place, puts two cats (horse-dung). When the Gypsy exhibits his singing bag the next time, the cats mew. The Gypsy opens the bag and is scratched or bitten [K526]."
2101,312,Maiden-killer (Bluebeard) (previously The Giant-killer and his Dog),"An odd-looking rich man (e.g. with a blue beard [S62.1]) takes his bride to his splendid castle. She is forbidden to open a certain room, but she disobeys and finds it full of the dead bodies of her predecessors [C611]. The husband wants to kill her for her disobedience [C920], but she is able to delay the punishment (three times) [K551]. She (her sister) calls their brother (three brothers) who kills the husband (sometimes with help from a dog or other animal) and rescues his sister(s) [G551.1, G652]. Cf. Type 311."
2102,312A,The Rescued Girl (previously The Brother Rescues His Sister from the Tiger),"A man gives his daughter in marriage to a tiger (monkey, supernatural being) because he made a rash vow (as a payment for the tigers help, or because the tiger threatened him). The tiger eats the girl and demands her sister(s), whom he also eats. The youngest sister (brother) kills the tiger (the girl escapes and the tiger is lured back to the village and killed)."
2103,312C,The Rescued Bride (previously Devils Bride Rescued by Brother),"(Including the previous Type 452A*.) (A man promises his daughter to the devil.) The girl marries the devil (Or: A youth curses his sister: The devil may take her. This happens.) The brother searches for his sister, finds her and rescues her (frequently with the help of his dogs)."
2104,312D,Rescue by the Brother (previously Brother Saves his Sister and Brothers from the Dragon),"(Peas Son.) A dragon (devil) carries off a girl (three girls) and kills her brothers when they try to rescue her. After a magic conception (often by swallowing a pea [T511.3]), the mother of the siblings gives birth to a strong son [F611.1]. This son kills the dragon, rescues his sister, and resuscitates his brothers. The envious brothers plan to kill the youngest. But because of his strength he is able to free himself and to punish his brothers. Cf. Type 550."
2105,313,The Magic Flight,"(Including the previous Types 313A, 313B, 313C, and 313H*.) This type combines various introductory episodes with the two main parts of the Magic Flight and the Forgotten Fiance. Introductory episodes: (1) After a war between birds and quadrupeds [B261, cf. Type 222], a wounded eagle is cared for by a man. The eagle (its relatives) gives the man a box which he must not open before he arrives at home. The man disobeys and a castle appears. An giant helps the man close the box and, in return, is promised the mans unborn son [S222]. Cf. Type 537. In some variants, a boy is promised to a demon, giant, or devil [S222, S240], or the boy promises himself to the demon. Threatening him with death, the demon (giant, devil) assigns the youth (often three) impossible tasks [G465] (e.g. building a castle in one night [H1104], bailing out a pond with a sieve [H1113], felling a forest using an axe of glass, capturing a magic horse [H1154.8]) which he performs with the help of the demons daughter [H335.0.1]. Before the youth can marry the daughter, he must identify her in a group of women (her sisters) who look just like her. (2) A youth watches girls (transformed swans) bathing in a lake and steals the swan dress of one of them [D361.1, D721]. The girl agrees to marry the youth and takes him to her fathers house. Cf. Types 400, 465A. (3) A king suffering from leprosy (scabs) captures a prince and feeds him with sweets for forty days, in the hope that the princes blood will cure his sickness. The princess falls in love with the foreign youth. Main parts: Magic Flight. The daughter of the demon (king) uses her magical power to flee together with the youth. She leaves magic speaking objects (spittle, blood) behind to deceive her father [D1611]. Nevertheless the flight is discovered and the father follows them. In order to escape, the girl transforms herself and her fianc into various things or persons (e.g. into rose and thornbush, church and priest, lake and duck) [D671], or she throws magic objects (comb, brush, mirror, etc.)which become obstacles in the way of the pursuer [D672]. After the third transformation, the pursuer has to give up (dies). Cf. Type 310. In some variants of the Magic Flight two children (brother and sister) flee from a witch (demon, dragon, ogre, witch, wolf, bad stepmother). (Previously Type 313H*.) Forgotten Fiance [D2003]. The youth goes to visit his home and leaves his bride behind. At home he breaks a taboo: Disobeying the brides warning, he kisses someone (eats something) and thus forgets his experiences [D2004.2, C234, D2004.3]. When the youth is about to marry another woman, the forgotten fiance reawakens his memory by performing magic actions (paralyses three lovers in embarrassing positions [D2006.1.1], magically stops the wedding carriage of the new bride [D2006.1.5], brings a couple of birds who remind the youth of her help [D2006.1.3], or buys a place for three nights in the bridal bed from her husbands new bride, and in the third night successfully reawakens his memory [D1978.4, D2006.1.4], etc.). The youth marries the true bride."
2106,313E*,The Sisters Flight (previously Girl Flees from Brother who Wants to Marry her),"A brother wants to marry his sister. (Cf. Type 510B.) She flees and arrives in the underworld at the house of a witch. There she meets the witchs daughter who resembles her. Both girls escape from the sorceress by a magic flight, throwing objects behind them. (Cf. Type 313.) The girls change into birds, and the brother is not able to distinguish them. He pretends he is going to kill himself. The sister betrays herself by an involuntary cry. The brother marries the sorceresss daughter."
2107,314,Goldener (previously The Youth Transformed to a Horse),"(Including the previous Type 532.) This type combines various introductory episodes with a common main part. Cf. Types 314A, 502, and 530. Introductory episodes: (1) A boy has been promised (often in return for magic conception) to a demon (devil, giant) [S211], or he voluntarily becomes a servant in a demons house [G462]. The demon orders him to care for two (groups of) animals, to feed the one and to neglect the other. The boy does not follow these instructions and thus makes friends with the abused animal (magic horse) [B316]. Against the prohibition of the demon, he enters a certain chamber [C611]. As a mark of disobedience, his hair turns gold [C912]. The boy and the magic horse escape from the demon by a magic flight [D672]. (2) A boy (usually the son of a ruler) and a magic foal are close friends. The mother (stepmother) wants to kill the boy. The magic foal warns the boy of her secret murderous attempts. At last the mother demands that the boy or the foal be killed. The boy pretends to agree but asks his father to be allowed to ride the foal one last time. During this ride the foal flies away together with the boy [B184.1.6]. (3) In return for his magic conception, a boy is promised to a demon [G461]. On the way to the demons house, the boy is forewarned (given instructions for how to kill the demon or to flee). In the rooms of the demons house, the boy finds prisoners or corpses (and his hair turns to gold [C912]). The boy kills the demon and flees. Main part: The youth covers his golden hair, pretending to be a scaldhead, and takes service in the kings court as a gardener [K1816.1]. (He says nothing except, I dont know. [C495.1]; previously Type 532). But the youngest princess sees him in his true form ( as a golden-haired knight who destroys and restores the garden three times) [H75.4]. She falls in love with Goldener [T91.6.4] and chooses him as her husband by throwing a golden apple to him [T55.1]. They marry but the angry king banishes the couple to a shabby lodging [L132, L113.1.0.1]. The king demands the help of his sons-in-law. Goldener has only a poor kit and is mocked. With the help of his magic horse he achieves various heroic deeds: He obtains the magic remedy (e.g. milk of a bird, water of life) for the king who had grown blind (cf. Type 551), kills a dragon (cf. Type 300), defeats a foreign army three times in disguise. He is wounded and is bandaged by the king. Three times he withdraws and is mocked as a fool. Cf. Type 530. Goldeners identity is revealed (e.g. by wounds, brands) and his true status is recognized [H55, H56]. The horse asks to be decapitated and becomes a prince (princess, other person)."
2108,314A,The Shepherd and the Three Giants,"A poor youth (orphan, fool, youngest of three brothers) sets out with his only heirloom (e.g. rusty sabre) or with magic objects (stick, flute, etc.)which grateful old people gave him [D817]. He becomes the kings shepherd [L113.1.4]. Cf. Types 570, 592. The youth is allowed to pasture his livestock on the kings land but not on the neighboring territory which belongs to three giants (because no one has ever returned from there). The youth disobeys and, with the help of his magic objects (strength), overcomes the three giants one after the other (sometimes their mother, too) [G500]. In the giants lodging the youth finds a magic horse [B184.1] and armour of three different metals (magic weapons, immeasurable wealth, helpful spirits, enchanted persons). The king promises his daughter to whoever rescues her from a (three) dragon(s) (cf. Type 300), wins a tournament (cf. Type 530), or helps him in battle (cf. Type 314). The youth, wearing his shining armour and riding his magic horse, succeeds three times. He withdraws and hides [R222] until the princess recognizes him as the true champion. The youth marries the princess and becomes king [L161]."
2109,314A*,Animal as Helper in the Flight (previously The Bullock-savior),"(Including the previous Type 314B*.) This tale exists chiefly in two different forms: (1) A bull (horse, moose, ox, bear, wolf, birds) helps children (another person) to escape from their pursuer (devil, witch, robbers). (2) The devil (white wolf) wants to abduct (marry) a princess (girl). A goat puts a straw sheaf in the place of the princess, asks the real princess to climb in a cart, covers her with hay, and tells the devil whom he meets on the way that the princess is at home. The devil grabs the sheaf and takes it to hell. The goat brings the girl home. (Previously Type 314B*.)"
2110,315,The Faithless Sister,"Brother and sister leave home (are driven out). The brother kills a number of robbers (devils, giants, dragons) but does not realize that the last one is merely wounded [F615]. The sister helps the wounded robber to recover, and he becomes her lover. In order to get rid of the brother, she pretends to be ill and sends him out to get her the milk (liver) of dangerous animals [K2212.0.2]. The brother spares the animals and they follow him (give him a whistle). After the first attempt fails, the sister binds her brother with a silk thread, or she sends him to a magic mill where the animals are kept. When the couple is about to kill the brother, he whistles for the animals. They (break out from the mill and) tear the robber to pieces. The faithless sister is imprisoned (has to repent and to fill a barrel with her tears). The brother takes to the road, rescues a princess from a dragon [R111.1.1], and marries her [L161]. Cf. Type 300. The sister is brought to the court. She tries to take revenge on her brother by putting a (poisoned) bone into his bed. The brother dies. The animals lick the bone out of his body and he revives. The sister is punished by death."
2111,315A,The Cannibal Sister,"A woman (queen) who has only sons gives birth to a daughter. The girl first devours the animals, then her brothers and parents, and finally the inhabitants of the village (city) [G30, G346]. Only one brother escapes. (Or: At a kings court every night someone devours horses. The elder princes who keep watch fail, but the youngest shoots the monster. He recognizes his baby sister as the cannibal because one of her fingers has been shot off. The youth is driven away [as a liar] or flees [sometimes together with his mother or elder sister].) The youth marries, gives his wife a life token, leaves his dogs (young lions, panther) behind, and returns home. He finds everything devastated. His sister devours his horse and threatens to devour him, too. While she is sharpening her teeth, the youth must play an instrument to prove he is still there. A mouse takes his place and he flees [B521]. The youth escapes and climbs three trees in succession which his sister gnaws down [R251]. Warned by the life token, his dogs come to save him and kill the cannibal sister [B524.1.2]."
2112,316,The Nix of the Mill-pond,"A poor fisherman (miller) (unwittingly) promises his son [S240] to a water nix [F420.1.2], who makes the fisherman wealthy. The parents keep the child away from the water. When the appointed time comes, the son learns about his fathers promise and flees. On the way the youth divides the carcass of an animal among a lion, a falcon, and an ant (other animals) by taking the animals characteristics into consideration. In return he receives from the grateful animals the power to transform himself into their shapes. Using this power he wins a princess as his wife. After winning a battle (while hunting) the youth comes near the water and is seized and pulled down (swallowed) by the water nix [F420.5.2.2]. By offering precious objects (three golden apples), his wife tempts the nix to the surface. In exchange for these objects the water nix exhibits her husband: first up to his head, then up to his waist. When the water nix exhibits the husbands whole body, he changes into a bird and escapes [R152, D642.2]."
2113,317,The Tree that Grows up to the Sky (previously The Stretching Tree),"(Including the previous Type 468.) In a kings yard a tree grows up to the sky [F54.1]. A dragon (giant) living in the tree carries off the princess. The king promises her as a wife to whoever can bring her back. In some variants, the king promises his daughter to whoever brings him healing fruits from the tree. After noble canditates have failed, a young swineherd succeeds in climbing the tree wearing iron boots [Q502.2]. In the upper world the youth guards the dragons magic horse which tells him (he asks the princess to find out) where the dragons power is hidden. The youth kills the dragon, returns to earth together with the princess, and marries her. In some variants, in the upper world the youth watches over the magic horses of a fairy (Tndr Ilona) who gives him clothes of copper, silver, and gold. The fairy falls in love and marries the youth. The youth enters a forbidden chamber [C611] and frees a dragon which carries off the fairy. Continuation as in Type 302C*."
